% isAttack normal:	4000
% isAttack attack:	3705
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
SF,946,2485,100,normal
SF,880,2158,86,normal
OTH,66,2734,51,normal
OTH,66,5880,55,normal
SF,880,1943,100,normal
SF,946,2102,100,normal
OTH,66,5517,100,normal
OTH,146,2586,69,normal
OTH,66,3586,59,normal
SF,946,1881,100,normal
SF,946,4000,98,normal
SF,1120,2065,100,normal
SF,946,1877,100,normal
OTH,66,3832,31,normal
OTH,66,3361,49,normal
OTH,146,4296,46,normal
SF,946,3517,100,normal
OTH,66,1883,39,normal
OTH,66,5163,42,normal
OTH,66,4487,49,normal
OTH,66,3157,40,normal
SF,1024,3014,55,normal
OTH,66,3988,48,normal
SF,946,2202,100,normal
OTH,66,5315,73,normal
SF,946,502,97,normal
SF,946,3874,100,normal
OTH,66,4496,47,normal
OTH,66,2721,46,normal
SF,946,2101,100,normal
SF,946,2700,78,normal
SF,946,2108,100,normal
SF,946,1112,100,normal
SF,946,3953,100,normal
OTH,66,2731,48,normal
SF,1024,3068,69,normal
SF,880,2995,100,normal
SF,946,2815,100,normal
SF,946,3883,100,normal
SF,946,2161,100,normal
SF,946,3211,96,normal
SF,946,2394,100,normal
SF,946,1303,100,normal
SF,946,2453,100,normal
SF,1120,2077,100,normal
SF,946,2223,100,normal
OTH,66,3248,44,normal
OTH,66,3355,52,normal
SF,1012,3259,92,normal
OTH,78,3574,67,normal
SF,946,1929,59,normal
OTH,66,3118,30,normal
SF,946,1883,99,normal
SF,946,3937,42,normal
OTH,66,3019,39,normal
S2,1024,2184,100,normal
SF,946,1922,100,normal
OTH,66,4102,62,normal
SF,946,2642,100,normal
OTH,66,5039,47,normal
OTH,66,4673,53,normal
SF,946,591,100,normal
SF,946,3097,100,normal
SF,946,2325,58,normal
S3,1024,3123,100,normal
OTH,66,4980,38,normal
OTH,66,2113,51,normal
OTH,66,3064,83,normal
OTH,66,5636,40,normal
SF,946,2229,100,normal
SF,946,2191,98,normal
OTH,66,2917,47,normal
SF,946,2520,100,normal
SF,946,2541,100,normal
OTH,66,4943,43,normal
OTH,66,2918,48,normal
SF,880,2091,100,normal
OTH,66,4182,45,normal
SF,1120,2259,100,normal
SF,946,2614,100,normal
OTH,66,4497,47,normal
SF,946,3168,100,normal
SF,958,2435,86,normal
SF,946,2706,89,normal
OTH,66,2824,50,normal
SF,946,636,100,normal
S1,74,2688,100,normal
OTH,66,3160,47,normal
OTH,66,5842,50,normal
SF,946,3181,100,normal
OTH,66,2962,46,normal
SF,946,2569,100,normal
SF,946,2003,100,normal
OTH,66,3337,74,normal
SF,946,3051,98,normal
OTH,146,2831,68,normal
OTH,66,2529,44,normal
SF,946,4042,100,normal
SF,1024,3084,90,normal
OTH,66,3402,51,normal
SF,946,2353,88,normal
SF,946,3452,65,normal
OTH,66,5952,50,normal
SF,880,2246,100,normal
SF,946,3876,100,normal
SF,946,1344,100,normal
SF,946,2549,100,normal
SF,946,1932,100,normal
SF,946,3944,100,normal
SF,946,2182,98,normal
OTH,66,3272,49,normal
OTH,66,4674,53,normal
OTH,66,5914,44,normal
OTH,66,3498,51,normal
SF,880,566,97,normal
SF,946,2435,98,normal
OTH,146,5678,21,normal
OTH,66,2884,42,normal
SF,946,3338,91,normal
SF,946,1747,100,normal
SF,946,3372,100,normal
OTH,66,2671,52,normal
OTH,66,1495,69,normal
OTH,66,3291,44,normal
OTH,66,3153,56,normal
SF,946,2218,100,normal
OTH,66,2999,49,normal
SF,946,2386,100,normal
OTH,66,3159,57,normal
OTH,66,5058,42,normal
OTH,66,3525,48,normal
OTH,66,4960,38,normal
SF,946,3083,100,normal
OTH,66,2840,55,normal
SF,1024,3178,87,normal
SF,946,1969,100,normal
OTH,66,5129,69,normal
OTH,66,3283,46,normal
SF,1120,1512,100,normal
OTH,66,5246,72,normal
OTH,66,3287,34,normal
OTH,66,3905,80,normal
OTH,66,3849,45,normal
SF,946,1998,100,normal
OTH,66,2729,48,normal
OTH,146,4862,46,normal
OTH,66,2700,45,normal
SF,946,2211,100,normal
SF,946,5668,72,normal
S1,74,2677,100,normal
SF,946,467,100,normal
OTH,66,5364,96,normal
OTH,78,3393,99,normal
SF,946,2081,88,normal
SF,946,1835,100,normal
OTH,66,2985,71,normal
SF,946,3886,100,normal
OTH,66,2344,68,normal
SF,946,2150,100,normal
SF,1020,1444,100,normal
SF,946,3513,100,normal
OTH,66,2431,52,normal
SF,946,2109,100,normal
OTH,66,5880,48,normal
SF,946,2435,100,normal
OTH,146,4911,48,normal
SF,1012,2266,100,normal
SF,982,1655,100,normal
OTH,66,4961,54,normal
OTH,66,3057,55,normal
SF,946,3010,100,normal
OTH,66,2670,50,normal
OTH,66,4837,57,normal
SF,946,1749,100,normal
OTH,66,3397,46,normal
OTH,146,5154,51,normal
OTH,66,5787,13,normal
OTH,78,5743,65,normal
SF,946,899,99,normal
SF,1024,2726,72,normal
SF,946,1019,100,normal
SF,946,3346,93,normal
SF,352,3172,87,normal
SF,946,2913,98,normal
SF,946,3296,100,normal
SF,946,3533,100,normal
OTH,146,2498,37,normal
SF,946,2255,100,normal
SF,946,2205,100,normal
SF,946,2149,100,normal
SF,946,1429,100,normal
SF,946,2860,100,normal
OTH,66,5778,43,normal
OTH,66,4955,57,normal
SF,946,2243,100,normal
OTH,66,3140,39,normal
OTH,78,5813,50,normal
S3,880,1674,100,normal
SF,1024,3832,54,normal
OTH,66,4935,45,normal
SF,946,3062,24,normal
OTH,78,5701,45,normal
SF,946,2599,100,normal
SF,946,2968,63,normal
SF,880,3348,93,normal
S1,218,2462,100,normal
OTH,66,3430,47,normal
OTH,66,3142,50,normal
OTH,66,4051,99,normal
OTH,78,5515,81,normal
SF,946,1939,100,normal
OTH,66,3286,69,normal
SF,946,3042,88,normal
OTH,66,3483,60,normal
OTH,66,3201,49,normal
OTH,78,4813,44,normal
OTH,146,2521,44,normal
OTH,66,2494,34,normal
SF,946,2222,100,normal
OTH,146,2618,41,normal
SF,1120,2613,100,normal
OTH,66,4192,45,normal
SF,946,2225,100,normal
S1,74,2830,100,normal
SF,946,2515,94,normal
SF,946,3521,100,normal
SF,946,1525,100,normal
SF,946,2222,100,normal
SF,880,2201,100,normal
SF,946,2228,100,normal
OTH,66,2903,49,normal
SF,946,1899,100,normal
SF,946,4252,73,normal
SF,946,2155,98,normal
SF,946,3998,95,normal
SF,946,1140,100,normal
SF,1024,2725,72,normal
SF,946,2012,100,normal
OTH,66,2883,45,normal
SF,946,4468,55,normal
OTH,66,3848,44,normal
OTH,66,3031,58,normal
SF,946,2250,100,normal
SF,946,3348,96,normal
OTH,66,3393,42,normal
OTH,66,4874,57,normal
OTH,66,4042,44,normal
SF,946,2062,100,normal
SF,946,3916,69,normal
SF,946,2157,100,normal
SF,946,2853,63,normal
OTH,66,6211,52,normal
OTH,66,3146,41,normal
S1,286,1611,100,normal
SF,946,2026,100,normal
OTH,66,3299,36,normal
SF,946,2189,41,normal
OTH,66,2953,38,normal
SF,946,1827,100,normal
SF,946,1931,100,normal
SF,946,2050,100,normal
SF,946,2130,100,normal
OTH,66,3343,49,normal
SF,1012,2040,100,normal
OTH,66,2726,42,normal
SF,946,1940,100,normal
OTH,66,4974,28,normal
SF,946,2390,98,normal
OTH,66,3393,52,normal
OTH,66,2830,45,normal
SF,946,1851,100,normal
SF,946,2071,100,normal
SF,1078,1182,100,normal
OTH,66,6119,38,normal
SF,946,2044,100,normal
OTH,66,3883,70,normal
OTH,78,4238,95,normal
OTH,66,4992,40,normal
OTH,66,4886,52,normal
S1,286,2736,100,normal
OTH,66,3954,58,normal
SF,1024,3299,75,normal
SF,1120,2254,100,normal
SF,880,2311,100,normal
S3,880,3098,100,normal
SF,946,1140,100,normal
SF,946,1906,92,normal
SF,880,2307,100,normal
OTH,66,2133,48,normal
SF,946,3889,98,normal
OTH,78,5592,75,normal
OTH,66,2925,29,normal
OTH,146,2598,69,normal
OTH,66,2016,47,normal
SF,946,2358,63,normal
OTH,66,3076,43,normal
OTH,66,2506,50,normal
SF,946,2282,100,normal
OTH,78,5702,45,normal
OTH,66,4954,46,normal
SF,946,3207,100,normal
SF,946,2386,100,normal
SF,946,2367,100,normal
SF,946,2989,98,normal
OTH,66,5178,58,normal
OTH,66,2719,52,normal
OTH,66,5330,86,normal
SF,946,2205,100,normal
SF,946,3295,71,normal
SF,880,2400,85,normal
SF,946,592,100,normal
SF,946,2012,100,normal
SF,1120,591,100,normal
OTH,66,3197,49,normal
SF,946,2790,98,normal
SF,946,795,100,normal
SF,946,2492,100,normal
SF,946,1948,100,normal
SF,946,3349,100,normal
OTH,66,6272,47,normal
OTH,66,3330,44,normal
SF,946,3026,68,normal
SF,1042,2321,100,normal
SF,1120,2619,100,normal
OTH,66,5859,52,normal
SF,946,1834,100,normal
OTH,66,4301,51,normal
SF,946,1885,100,normal
SF,734,3015,47,normal
SF,946,2316,100,normal
OTH,66,3615,38,normal
OTH,66,3076,43,normal
SF,946,1865,94,normal
OTH,66,4913,78,normal
OTH,66,4416,43,normal
SF,946,4231,95,normal
OTH,66,4746,42,normal
SF,946,2531,100,normal
OTH,66,5982,32,normal
OTH,66,2864,50,normal
SF,946,3539,100,normal
S2,1024,3615,100,normal
SF,946,1973,100,normal
SF,946,2337,78,normal
OTH,66,5109,42,normal
OTH,66,3268,35,normal
OTH,66,5784,41,normal
SF,946,3428,95,normal
SF,946,2778,100,normal
S1,140,2986,100,normal
OTH,66,4679,32,normal
OTH,66,2999,45,normal
SF,946,2285,100,normal
SF,1024,2786,89,normal
OTH,66,3358,48,normal
SF,946,1479,100,normal
OTH,66,2905,49,normal
OTH,66,3850,49,normal
OTH,66,2766,47,normal
SF,1024,3017,55,normal
OTH,66,3945,18,normal
OTH,66,2142,52,normal
SF,946,2021,86,normal
OTH,66,4980,33,normal
OTH,66,5076,25,normal
SF,946,2533,100,normal
OTH,66,4883,48,normal
SF,946,2114,100,normal
OTH,78,5993,50,normal
SF,946,3098,85,normal
OTH,66,5510,100,normal
RSTR,286,3342,100,normal
OTH,146,3316,47,normal
SF,946,1548,100,normal
OTH,66,3185,43,normal
SF,946,1943,100,normal
OTH,146,3535,45,normal
OTH,66,4059,37,normal
OTH,66,5084,42,normal
OTH,66,4937,59,normal
OTH,146,4073,34,normal
SF,946,2413,100,normal
SF,946,2251,100,normal
SF,946,1926,100,normal
OTH,66,5701,31,normal
OTH,66,3261,47,normal
OTH,66,3948,68,normal
OTH,66,5147,49,normal
SF,946,2139,100,normal
SF,880,2043,100,normal
SF,946,1950,99,normal
SF,946,1953,100,normal
SF,946,2249,100,normal
SF,946,2003,100,normal
OTH,66,5943,52,normal
OTH,66,3758,40,normal
S3,286,1757,100,normal
OTH,66,2956,42,normal
OTH,66,6323,51,normal
OTH,66,5023,46,normal
S2,352,2883,100,normal
SF,946,1248,100,normal
SF,946,3356,100,normal
OTH,66,2477,52,normal
SF,1024,2784,89,normal
OTH,66,4441,49,normal
OTH,66,2520,48,normal
SF,946,1866,100,normal
SF,946,1944,100,normal
OTH,66,4742,52,normal
SF,946,2210,100,normal
SF,946,2141,100,normal
OTH,66,3065,40,normal
SF,946,2122,100,normal
OTH,66,5910,53,normal
SF,946,1144,100,normal
SF,946,2119,100,normal
SF,946,2323,47,normal
SF,946,2750,100,normal
OTH,66,3114,83,normal
SF,946,3028,100,normal
S1,286,1665,100,normal
SF,946,2187,100,normal
OTH,66,3069,85,normal
OTH,66,3493,48,normal
SF,946,1583,100,normal
SF,946,2122,100,normal
SF,946,2330,100,normal
S1,140,2264,100,normal
SF,880,2711,78,normal
OTH,66,3383,52,normal
SF,946,2179,98,normal
SF,946,2943,100,normal
SF,946,999,100,normal
OTH,146,3546,52,normal
SF,1048,2034,100,normal
RSTR,1086,1530,90,normal
SF,1024,2780,100,normal
SF,1024,2685,100,normal
SF,946,2533,100,normal
OTH,66,2789,46,normal
SF,946,2321,100,normal
SF,946,2167,99,normal
SF,880,2080,88,normal
SF,946,3088,100,normal
OTH,146,4355,80,normal
OTH,66,3005,56,normal
SF,880,3372,65,normal
OTH,66,5974,42,normal
SF,946,2187,100,normal
SF,946,281,100,normal
OTH,66,5917,64,normal
SF,880,1886,99,normal
SF,946,2753,100,normal
SF,946,3368,100,normal
SF,946,3909,100,normal
SF,880,2621,100,normal
OTH,66,3144,100,normal
SF,1120,1723,100,normal
OTH,66,5463,100,normal
OTH,66,3743,52,normal
OTH,66,5044,46,normal
SF,946,3301,100,normal
SF,946,3345,96,normal
SF,430,3117,86,normal
S3,958,3754,100,normal
OTH,66,4363,48,normal
OTH,66,3868,46,normal
SF,946,2015,100,normal
SF,880,2216,100,normal
OTH,66,5011,47,normal
SF,946,2041,100,normal
OTH,66,3360,50,normal
OTH,66,5902,56,normal
OTH,66,3255,38,normal
OTH,66,2952,42,normal
OTH,66,5891,45,normal
SF,946,2202,100,normal
RSTR,364,1912,100,normal
SF,946,1241,100,normal
OTH,66,3721,50,normal
OTH,66,6276,50,normal
OTH,66,1889,45,normal
OTH,66,4318,53,normal
OTH,66,5082,31,normal
OTH,78,3876,100,normal
SF,352,1912,68,normal
SF,946,2306,100,normal
OTH,66,5909,50,normal
SF,946,1906,100,normal
SF,1024,2214,100,normal
OTH,66,3217,47,normal
SF,946,4263,64,normal
OTH,66,3013,43,normal
SF,946,1945,100,normal
OTH,66,3030,45,normal
SF,946,105,100,normal
SF,880,3219,98,normal
OTH,66,3616,44,normal
SF,1120,2113,100,normal
OTH,66,2856,48,normal
SF,1020,1440,100,normal
SF,880,1980,100,normal
SF,946,2955,100,normal
SF,1120,1530,100,normal
OTH,66,2987,46,normal
SF,946,2554,100,normal
SF,946,2243,100,normal
OTH,78,2849,88,normal
SF,1024,1887,79,normal
OTH,66,3079,83,normal
S2,352,3407,100,normal
SF,946,306,100,normal
OTH,78,3897,88,normal
SF,880,2031,100,normal
SF,946,1281,100,normal
OTH,66,5099,45,normal
SF,946,1291,100,normal
RSTR,958,1776,100,normal
OTH,66,3021,84,normal
SF,946,2321,100,normal
SF,946,3873,100,normal
SF,946,2077,100,normal
SF,946,2334,100,normal
SF,946,4071,100,normal
SF,946,1910,89,normal
OTH,66,5104,50,normal
S1,880,3467,100,normal
SF,1024,3210,52,normal
OTH,66,5192,28,normal
OTH,66,3101,83,normal
SF,946,1852,100,normal
OTH,66,4955,43,normal
SF,946,1842,100,normal
OTH,66,5964,52,normal
SF,946,2381,100,normal
OTH,66,5686,47,normal
SF,946,4011,94,normal
OTH,66,3607,32,normal
OTH,66,5182,22,normal
OTH,66,5961,39,normal
SF,946,2077,100,normal
OTH,66,3201,48,normal
SF,946,1855,100,normal
SF,1048,2134,100,normal
SF,946,1671,100,normal
SF,946,1829,100,normal
SF,946,1895,100,normal
OTH,146,3075,46,normal
OTH,146,5229,39,normal
OTH,66,3686,91,normal
SF,946,1936,100,normal
SF,946,2066,100,normal
OTH,66,2878,53,normal
OTH,66,3363,52,normal
OTH,66,2909,19,normal
OTH,66,3172,67,normal
OTH,66,2931,49,normal
SF,946,2147,100,normal
SF,946,2051,88,normal
SF,1024,3067,72,normal
OTH,66,3906,51,normal
OTH,66,5189,40,normal
SF,946,2440,100,normal
OTH,78,1858,100,normal
SF,946,2511,100,normal
OTH,66,6237,47,normal
OTH,78,5707,46,normal
OTH,66,3207,48,normal
SF,946,2612,100,normal
S3,286,2762,100,normal
OTH,66,4310,48,normal
SF,946,280,100,normal
SF,946,642,100,normal
OTH,66,3156,52,normal
SF,946,2282,100,normal
SF,946,2125,100,normal
S3,814,2126,100,normal
SF,946,590,100,normal
SF,946,1925,86,normal
OTH,66,5092,69,normal
OTH,66,4840,57,normal
OTH,66,3838,44,normal
OTH,66,3186,100,normal
OTH,66,3294,45,normal
SF,946,2843,100,normal
SF,946,1863,100,normal
SF,946,2201,100,normal
S1,386,2159,100,normal
S2,1024,3257,100,normal
OTH,66,5933,41,normal
OTH,66,6028,42,normal
SF,946,2023,100,normal
SF,946,3942,71,normal
SF,946,2357,100,normal
S2,946,3631,100,normal
SF,946,2170,100,normal
OTH,146,5309,81,normal
SF,734,3944,71,normal
SF,946,2818,99,normal
OTH,66,3037,20,normal
SF,946,3049,100,normal
SF,880,1129,100,normal
SF,946,1393,100,normal
SF,1120,2127,100,normal
OTH,66,3810,39,normal
SF,946,2047,100,normal
OTH,66,3281,38,normal
OTH,146,2972,44,normal
SF,946,2143,91,normal
OTH,66,2368,52,normal
SF,946,3381,100,normal
OTH,146,2789,79,normal
SF,946,2263,100,normal
SF,946,1558,100,normal
OTH,66,3667,45,normal
OTH,66,3947,84,normal
OTH,66,2814,46,normal
SF,946,1606,100,normal
SF,946,2914,100,normal
SF,946,1580,100,normal
OTH,66,2608,43,normal
OTH,66,5789,32,normal
SF,946,2290,100,normal
SF,946,3090,100,normal
SF,946,1916,50,normal
SF,946,307,100,normal
OTH,66,4210,57,normal
SF,946,5681,72,normal
OTH,66,5340,81,normal
OTH,66,3195,43,normal
SF,1024,3115,74,normal
OTH,66,3185,53,normal
OTH,66,2770,50,normal
OTH,66,4996,68,normal
OTH,66,5199,51,normal
SF,946,2102,100,normal
SF,946,905,99,normal
SF,946,976,100,normal
SF,880,1471,100,normal
OTH,66,5491,79,normal
SF,946,20,20,normal
OTH,66,6233,50,normal
SF,946,2057,99,normal
SF,946,3053,100,normal
SF,946,1528,100,normal
SF,946,2146,100,normal
OTH,146,3091,41,normal
S2,206,2575,100,normal
SF,946,779,100,normal
SF,946,1871,100,normal
OTH,66,2795,53,normal
SF,946,985,100,normal
OTH,66,6297,44,normal
SF,946,2456,100,normal
SF,430,3309,82,normal
OTH,66,2740,56,normal
OTH,66,1449,50,normal
SF,946,2153,100,normal
S2,1024,3266,100,normal
S2,946,3582,100,normal
OTH,66,2973,63,normal
SF,880,4460,60,normal
OTH,66,5465,100,normal
OTH,66,1492,67,normal
OTH,66,2863,49,normal
OTH,66,2849,50,normal
SF,946,1126,100,normal
SF,946,2177,100,normal
SF,946,2039,100,normal
OTH,66,4082,99,normal
SF,946,1536,100,normal
SF,946,2251,100,normal
OTH,66,3186,44,normal
SF,946,1910,100,normal
OTH,66,3877,54,normal
SF,946,1892,99,normal
SF,1092,2242,100,normal
SF,946,3358,100,normal
OTH,66,4879,50,normal
SF,946,1150,100,normal
SF,946,1917,85,normal
S3,800,3688,100,normal
SF,946,2978,63,normal
OTH,66,2026,47,normal
OTH,66,2129,53,normal
SF,946,1981,100,normal
OTH,78,2490,55,normal
OTH,66,2890,41,normal
OTH,66,5820,45,normal
SF,946,2126,100,normal
OTH,66,3648,85,normal
OTH,66,3927,80,normal
SF,946,3846,100,normal
SF,946,2120,100,normal
OTH,78,3865,75,normal
SF,946,3909,100,normal
OTH,66,2960,46,normal
SF,946,2000,86,normal
OTH,66,2242,48,normal
SF,946,1904,100,normal
SF,946,3022,63,normal
OTH,66,3973,97,normal
SF,946,3173,100,normal
SF,946,2138,100,normal
OTH,66,3384,52,normal
OTH,66,4392,32,normal
SF,946,2067,47,normal
SF,880,2272,100,normal
SF,880,4271,66,normal
SF,946,3378,100,normal
SF,946,1146,100,normal
OTH,66,3081,46,normal
SF,946,2842,100,normal
OTH,66,4394,34,normal
OTH,66,5659,11,normal
OTH,66,5833,41,normal
SF,880,3161,100,normal
S1,220,3179,100,normal
SF,946,2757,48,normal
OTH,66,4010,99,normal
SF,800,2619,66,normal
S1,734,3568,100,normal
OTH,66,3459,53,normal
OTH,146,5762,45,normal
SF,880,2133,99,normal
S3,1012,2927,100,normal
SF,946,3098,80,normal
SF,946,1952,100,normal
SF,946,3523,100,normal
OTH,66,4372,39,normal
SF,946,2253,100,normal
OTH,66,3156,39,normal
SF,946,2989,65,normal
OTH,66,3266,48,normal
SF,946,3238,98,normal
SF,880,5662,72,normal
SF,946,2531,100,normal
SF,946,3901,100,normal
OTH,66,2930,47,normal
SF,946,3883,98,normal
OTH,78,2880,76,normal
SF,946,2112,100,normal
SF,946,2963,100,normal
S3,946,1739,100,normal
SF,880,3045,89,normal
OTH,66,3661,86,normal
OTH,66,3306,58,normal
SF,946,1737,100,normal
OTH,66,5211,42,normal
SF,946,3331,91,normal
SF,946,2168,100,normal
SF,946,3081,85,normal
S2,1024,1927,100,normal
SF,946,1853,100,normal
SF,946,2150,100,normal
SF,946,2066,100,normal
SF,946,2235,100,normal
OTH,66,6134,44,normal
SF,946,1188,100,normal
OTH,78,3282,96,normal
OTH,66,2954,48,normal
OTH,66,3186,62,normal
OTH,66,5892,45,normal
OTH,66,3117,29,normal
OTH,66,6264,48,normal
SF,946,4091,100,normal
OTH,66,5512,81,normal
OTH,66,4904,43,normal
SF,946,2393,86,normal
SF,946,2519,100,normal
OTH,66,3368,46,normal
SF,946,2555,100,normal
SF,946,4251,83,normal
OTH,66,3777,43,normal
OTH,66,5902,43,normal
SF,946,3386,100,normal
OTH,66,3666,39,normal
OTH,66,3834,33,normal
SF,946,2512,100,normal
SF,946,3371,100,normal
OTH,66,3600,66,normal
SF,946,804,100,normal
SF,946,2238,100,normal
OTH,66,2911,53,normal
SF,880,1505,95,normal
SF,946,950,100,normal
OTH,146,3192,62,normal
SF,880,1936,86,normal
OTH,66,2813,50,normal
OTH,66,5406,97,normal
OTH,66,3026,21,normal
RSTR,880,3306,100,normal
SF,946,1461,100,normal
OTH,66,3970,94,normal
OTH,66,3491,49,normal
SF,946,1062,100,normal
OTH,66,2894,50,normal
SF,880,986,100,normal
SF,946,2351,100,normal
SF,946,3314,51,normal
OTH,66,3297,47,normal
S1,880,2206,100,normal
SF,946,2577,52,normal
OTH,66,5823,45,normal
S1,140,2657,100,normal
SF,946,1839,100,normal
OTH,66,2853,49,normal
SF,946,4000,98,normal
SF,946,3960,100,normal
OTH,66,3160,42,normal
SF,880,946,100,normal
SF,946,2324,100,normal
SF,946,3248,100,normal
OTH,66,3032,39,normal
OTH,66,3158,51,normal
OTH,66,3532,46,normal
SF,946,2501,100,normal
OTH,66,5687,47,normal
SF,880,2315,100,normal
OTH,66,4601,48,normal
SF,946,1143,100,normal
SF,946,2246,100,normal
OTH,146,2987,58,normal
OTH,66,2592,68,normal
OTH,66,6255,48,normal
SF,946,927,100,normal
SF,946,35,35,normal
RSTR,364,1894,100,normal
OTH,66,4646,52,normal
SF,946,1008,100,normal
SF,946,2167,50,normal
OTH,66,2616,51,normal
SF,946,3363,73,normal
S3,140,1966,100,normal
SF,946,1192,100,normal
SF,946,2882,77,normal
OTH,78,2467,85,normal
SF,946,746,100,normal
OTH,66,3089,43,normal
SF,946,2152,100,normal
SF,946,2137,100,normal
SF,946,2502,100,normal
OTH,66,3615,94,normal
SF,946,2314,100,normal
SF,946,2227,100,normal
SF,1024,3094,73,normal
OTH,66,5953,44,normal
S1,286,3563,100,normal
SF,946,3910,100,normal
SF,946,4195,76,normal
SF,946,2127,92,normal
OTH,66,4924,57,normal
OTH,66,5622,49,normal
SF,946,3375,100,normal
SF,946,2445,100,normal
SF,946,1862,100,normal
OTH,66,6368,26,normal
SF,946,3219,94,normal
OTH,66,3320,63,normal
OTH,78,5709,48,normal
SF,946,2113,100,normal
SF,946,1866,99,normal
S1,880,3489,100,normal
OTH,66,3197,84,normal
SF,946,2536,100,normal
SF,946,4113,100,normal
OTH,146,5840,55,normal
OTH,66,2838,45,normal
SF,946,2404,99,normal
OTH,66,4689,31,normal
OTH,66,3900,80,normal
OTH,66,3302,60,normal
SF,946,3157,100,normal
OTH,66,3042,48,normal
OTH,66,4468,54,normal
SF,946,1455,100,normal
OTH,78,3524,66,normal
OTH,66,2693,56,normal
SF,946,1836,100,normal
SF,946,2246,100,normal
SF,946,709,100,normal
OTH,146,2856,74,normal
S3,946,3628,100,normal
SF,946,1127,100,normal
SF,946,2041,100,normal
SF,946,3316,100,normal
SF,946,2154,98,normal
S2,352,2516,100,normal
OTH,66,2092,50,normal
SF,946,1087,100,normal
SF,946,2528,100,normal
SF,880,2565,100,normal
SF,946,1856,100,normal
SF,946,1893,92,normal
SF,880,2341,100,normal
OTH,66,3197,62,normal
SF,946,3875,100,normal
OTH,66,5764,45,normal
SF,946,2263,100,normal
OTH,66,2986,53,normal
SF,946,2846,77,normal
OTH,66,5961,45,normal
SF,946,2541,100,normal
OTH,66,3024,19,normal
SF,946,1893,50,normal
SF,946,3341,100,normal
OTH,146,3579,67,normal
OTH,78,2456,86,normal
SF,946,3905,100,normal
SF,946,1992,100,normal
SF,946,2224,100,normal
SF,946,1873,100,normal
OTH,66,3515,46,normal
OTH,66,3639,85,normal
OTH,66,5435,98,normal
SF,880,3854,75,normal
SF,880,4472,55,normal
OTH,66,2947,48,normal
SF,946,3081,90,normal
SF,946,797,100,normal
SF,946,2057,86,normal
OTH,66,3936,68,normal
OTH,66,4908,61,normal
SF,880,1462,100,normal
SF,1024,351,100,normal
SF,946,1971,100,normal
OTH,66,1452,52,normal
OTH,66,3258,31,normal
SF,946,1848,100,normal
OTH,66,3113,37,normal
OTH,66,2881,25,normal
OTH,66,3082,33,normal
OTH,66,2780,44,normal
SF,946,1189,100,normal
S3,748,2951,100,normal
OTH,66,3218,41,normal
SF,946,1991,100,normal
SF,946,2389,100,normal
OTH,66,5043,45,normal
RSTR,364,1896,100,normal
OTH,78,3005,73,normal
OTH,66,3814,41,normal
OTH,66,3536,35,normal
S1,286,2348,100,normal
SF,946,2104,100,normal
SF,946,2118,100,normal
OTH,66,2767,42,normal
SF,946,3883,100,normal
OTH,66,3262,47,normal
SF,946,3006,74,normal
SF,946,1944,100,normal
OTH,66,3140,49,normal
SF,946,3890,100,normal
SF,946,3387,100,normal
SF,946,3859,100,normal
OTH,66,4954,57,normal
OTH,66,2433,39,normal
OTH,66,3349,53,normal
S3,946,2191,100,normal
S3,958,3094,100,normal
SF,946,2276,100,normal
S3,946,1969,100,normal
SF,946,2082,100,normal
OTH,66,2855,50,normal
SF,946,2126,100,normal
OTH,66,5272,92,normal
SF,1120,2265,100,normal
SF,946,3170,100,normal
OTH,66,3542,48,normal
OTH,66,4848,48,normal
OTH,66,3518,46,normal
SF,946,2274,100,normal
SF,946,2761,52,normal
SF,1020,2049,100,normal
SF,946,1983,100,normal
OTH,66,5904,40,normal
OTH,146,3291,68,normal
SF,946,2194,100,normal
SF,946,3876,100,normal
SF,946,1945,100,normal
OTH,146,3312,47,normal
SF,946,3347,96,normal
OTH,78,5385,98,normal
OTH,66,5181,22,normal
SF,946,2524,99,normal
SF,946,3367,100,normal
SF,946,2067,100,normal
OTH,66,2857,37,normal
SF,946,2206,100,normal
SF,1042,1953,93,normal
OTH,66,5234,65,normal
OTH,78,5744,59,normal
SF,946,2008,100,normal
SF,240,2,255,normal
SF,234,3,255,normal
SF,228,8,255,normal
SF,226,14,255,normal
SF,247,8,255,normal
SF,299,5,255,normal
SF,302,5,236,normal
SF,238,16,255,normal
SF,205,19,255,normal
SF,303,21,255,normal
SF,221,1,255,normal
SF,308,20,255,normal
SF,358,2,255,normal
SF,324,11,255,normal
SF,249,14,255,normal
REJ,0,1,255,normal
SF,242,4,255,normal
REJ,0,1,14,normal
SF,351,22,255,normal
SF,246,6,255,normal
SF,267,4,255,normal
SF,314,21,255,normal
SF,274,15,255,normal
SF,211,2,255,normal
